variable,pc1_loading,pc2_loading
gdp_per_capita_usd,0.3374712714035596,-0.26553084602783444
rd_gdp,0.3235193598109478,-0.020273695733738918
researchers_per_million,0.35760885051234964,-0.16681914731111028
it_net_secr,0.2795519017329583,0.18993594909534386
internet_users_pct,0.33436013460688835,-0.23539849551343742
fixed_broadband_per100,0.09281397725812174,0.3868303889583847
mobile_cellular_per100,0.023899905116567702,-0.2799323558775956
tertiary_enrollment_gross,0.2398821249631239,-0.20616391914271073
ict_service_exports_pct,0.03534556665169123,0.03697162127340417
computer_comm_services_pct,0.18116905396739685,0.05554655491235494
hightech_exports_pct_manu,0.23117041632825752,0.03142586317699248
electric_power_kwh_per_capita,0.31496485543323266,-0.24389323225878914
top500_systems_count,0.26393368703374,0.36160716679412314
top500_rmax_sum_pflops,0.2988900801030561,0.30246345539623165
ai_publications,0.10584494088283615,0.48967396048491035
ai_policy_initiatives_new,0.1999391316394454,0.11096792690314701
