country,year,region,income_group,pc1,pc2,cluster
Argentina,2010,Latin America & Caribbean,Upper middle income,-3.5289811354370104,-0.942014731680686,2
Argentina,2011,Latin America & Caribbean,Upper middle income,-3.23398409772065,-1.1572752526363277,0
Argentina,2012,Latin America & Caribbean,Upper middle income,-3.042457151111733,-1.2552169250067693,0
Argentina,2013,Latin America & Caribbean,Upper middle income,-2.9231838230316,-1.3087831798971803,0
Argentina,2014,Latin America & Caribbean,Upper middle income,-2.869452147515801,-1.24320590743338,0
Argentina,2015,Latin America & Caribbean,Upper middle income,-2.6354697440683683,-1.2883151267267643,0
Argentina,2016,Latin America & Caribbean,Upper middle income,-2.363899762080918,-1.2228058121000127,0
Argentina,2017,Latin America & Caribbean,Upper middle income,-2.116319944318012,-1.175303901557924,0
Argentina,2018,Latin America & Caribbean,Upper middle income,-1.809042899373013,-0.86367487018763,0
Argentina,2019,Latin America & Caribbean,Upper middle income,-1.8464419395893596,-0.8055378573245758,0
Argentina,2020,Latin America & Caribbean,Upper middle income,-1.4283430981881091,-0.6752377745395496,0
Argentina,2021,Latin America & Caribbean,Upper middle income,-1.45795486657835,-1.071797642932305,0
Argentina,2022,Latin America & Caribbean,Upper middle income,-1.4624093196171706,-1.1765461541004978,0
Argentina,2023,Latin America & Caribbean,Upper middle income,-1.3762793784238072,-1.246699866237212,0
Argentina,2024,Latin America & Caribbean,Upper middle income,-1.1037691164804655,-0.8729770094667808,0
Australia,2010,East Asia & Pacific,High income,0.2937593329603726,-1.5604808959996412,0
Australia,2011,East Asia & Pacific,High income,0.7441450740677658,-1.3059671984089802,3
Australia,2012,East Asia & Pacific,High income,0.8593753288739181,-1.1727051740657368,3
Australia,2013,East Asia & Pacific,High income,0.9764103621516782,-1.1894510103365763,3
Australia,2014,East Asia & Pacific,High income,0.9903712154214416,-1.106650742884633,3
Australia,2015,East Asia & Pacific,High income,1.0802837991001353,-0.9526425934905972,3
Australia,2016,East Asia & Pacific,High income,1.3676747666396256,-0.8538334311811085,3
Australia,2017,East Asia & Pacific,High income,1.2396527147396663,-0.7723278057181501,3
Australia,2018,East Asia & Pacific,High income,1.685906034882989,-0.5158095809210785,3
Australia,2019,East Asia & Pacific,High income,1.772837809520881,-0.6708774078328463,3
Australia,2020,East Asia & Pacific,High income,1.6356146291144198,-0.7894203569548291,3
Australia,2021,East Asia & Pacific,High income,2.141397978916066,-0.6874342433297278,3
Australia,2022,East Asia & Pacific,High income,2.1801768016106746,-0.5530414229844405,3
Australia,2023,East Asia & Pacific,High income,2.245256699656884,-0.4282702956608096,3
Australia,2024,East Asia & Pacific,High income,2.1132738757864664,-0.4881942880722928,3
