cluster,gdp_per_capita_usd,rd_gdp,researchers_per_million,it_net_secr,internet_users_pct,fixed_broadband_per100,mobile_cellular_per100,top500_systems_count,top500_rmax_sum_pflops,ai_publications,ai_policy_initiatives_new,electric_power_kwh_per_capita
0,32003.951811174822,1.3492574125874124,2464.948063513986,153950.13986013987,79.24866573426573,7307581.006993007,136.89690699300698,1.9230769230769231,4.0696103286013985,0.6590345789707287,1.062937062937063,7025.579814888112
1,38052.740804857145,2.6758332142857144,2882.536,13691048.17857143,73.72585714285715,247651607.14285713,105.6350642857143,163.03571428571428,579.814471315,19.151051373214283,3.607142857142857,9169.576760892856
2,7261.559803905881,0.6366817647058823,475.896251,255996.84705882354,47.75953529411765,16502371.88235294,109.78551294117646,2.5176470588235293,1.9493216670588236,2.810345067635294,0.8352941176470589,2255.2580981611763
3,51998.06638365979,2.665803118556701,5432.458265618557,1178741.530927835,89.67173402061856,15459658.298969071,123.10651701030928,11.24742268041237,53.26103947623711,1.7792857542525773,3.2422680412371134,9127.750261618556
